snapshotTime,mid_close,mid_high,mid_low,mid_open,mid_high_low_diff
2024:02:02-14:00:00,7308.700000000001,7340.9,7307.1,7331.299999999999,33.79999999999927
2024:02:02-14:10:00,7291.9,7329.700000000001,7282.95,7308.4,46.75000000000091
2024:02:02-14:20:00,7267.9,7306.700000000001,7265.450000000001,7291.1,41.25
2024:02:02-14:30:00,7245.9,7273.700000000001,7231.4,7267.700000000001,42.30000000000109
2024:02:02-14:40:00,7216.9,7252.1,7213.299999999999,7246.1,38.80000000000109
2024:02:02-14:50:00,7217.299999999999,7232.700000000001,7205.299999999999,7217.1,27.400000000001455
2024:02:02-15:00:00,7261.299999999999,7264.4,7181.5,7217.0,82.89999999999964
2024:02:02-15:10:00,7261.1,7271.65,7220.95,7262.299999999999,50.69999999999982
2024:02:02-15:20:00,7298.1,7305.0,7254.8,7260.799999999999,50.19999999999982
2024:02:02-15:30:00,7241.299999999999,7298.2,7239.299999999999,7297.299999999999,58.900000000000546
2024:02:02-15:40:00,7228.0,7259.0,7225.9,7241.0,33.100000000000364
2024:02:02-15:50:00,7221.799999999999,7255.9,7217.9,7227.1,38.0
2024:02:02-16:00:00,7230.700000000001,7243.85,7213.35,7223.299999999999,30.5
2024:02:02-16:10:00,7216.1,7233.9,7205.2,7230.1,28.699999999999818
2024:02:02-16:20:00,7233.299999999999,7237.1,7191.299999999999,7216.299999999999,45.80000000000109
2024:02:02-16:30:00,7247.1,7254.2,7211.1,7233.0,43.099999999999454
2024:02:02-16:40:00,7247.1,7265.1,7226.95,7247.700000000001,38.150000000000546
2024:02:02-16:50:00,7209.299999999999,7254.700000000001,7209.2,7246.299999999999,45.50000000000091
2024:02:02-17:00:00,7230.1,7231.9,7204.2,7209.6,27.699999999999818
2024:02:02-17:10:00,7242.5,7244.6,7211.85,7229.5,32.75
2024:02:02-17:20:00,7251.299999999999,7259.5,7239.4,7242.799999999999,20.100000000000364
2024:02:02-17:30:00,7233.9,7252.5,7231.8,7251.0,20.699999999999818
2024:02:02-17:40:00,7227.700000000001,7239.5,7212.3,7234.700000000001,27.199999999999818
2024:02:02-17:50:00,7236.700000000001,7236.8,7213.8,7226.700000000001,23.0
2024:02:02-18:00:00,7254.299999999999,7257.4,7228.299999999999,7236.1,29.100000000000364
2024:02:02-18:10:00,7255.700000000001,7257.8,7237.700000000001,7254.5,20.099999999999454
2024:02:02-18:20:00,7241.1,7257.700000000001,7234.299999999999,7256.6,23.400000000001455
2024:02:02-18:30:00,7250.1,7253.2,7225.9,7241.299999999999,27.300000000000182
2024:02:02-18:40:00,7242.1,7253.2,7223.6,7249.5,29.599999999999454
2024:02:02-18:50:00,7249.4,7253.15,7228.1,7242.700000000001,25.049999999999272
2024:02:02-19:00:00,7244.1,7261.8,7235.0,7249.1,26.800000000000182
2024:02:02-19:10:00,7243.1,7249.1,7232.9,7243.9,16.200000000000728
2024:02:02-19:20:00,7227.299999999999,7245.0,7224.2,7243.299999999999,20.800000000000182
2024:02:02-19:30:00,7207.700000000001,7229.299999999999,7201.0,7226.299999999999,28.299999999999272
2024:02:02-19:40:00,7211.5,7217.5,7201.6,7208.299999999999,15.899999999999636
2024:02:02-19:50:00,7206.700000000001,7211.5,7204.0,7210.9,7.5
2024:02:02-20:00:00,7207.700000000001,7209.3,7198.700000000001,7206.1,10.599999999999454
2024:02:02-20:10:00,7213.700000000001,7214.1,7205.5,7206.700000000001,8.600000000000364
2024:02:02-20:20:00,7222.299999999999,7222.65,7211.6,7214.0,11.049999999999272
2024:02:02-20:30:00,7211.299999999999,7222.1,7210.25,7222.1,11.850000000000364
2024:02:02-20:40:00,7220.299999999999,7220.5,7207.299999999999,7211.5,13.200000000000728
2024:02:02-20:50:00,7216.299999999999,7219.299999999999,7211.9,7219.299999999999,7.399999999999636
2024:02:02-21:00:00,7212.700000000001,7216.5,7210.1,7216.5,6.399999999999636
2024:02:02-21:10:00,7217.200000000001,7218.85,7212.1,7212.9,6.75
2024:02:02-21:20:00,7220.6,7221.9,7215.0,7216.9,6.899999999999636
2024:02:02-21:30:00,7225.1,7225.4,7219.0,7220.0,6.399999999999636
2024:02:02-21:40:00,7236.4,7238.1,7224.8,7225.4,13.300000000000182
2024:02:02-21:50:00,7240.5,7243.1,7231.8,7236.6,11.300000000000182
